ps4, 333, 333, 333,8
xbox1,333,333,333,331
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534,object,broken
454534objectbroken454534objectbroken454534objectbroken454534objectbroken454534objectbroken454534objectbroken454534objectbroken454534objectbroken454534objectbroken454534objectbroken454534objectbroken454534objectbroken454534objectbroken454534objectbroken454534objectbroken